method,mse,mae,time,success,time_min
PINN,0.10095,0.262,12.145214319229126,True,0.20242023865381878
SIREN,0.11353,0.27437,19.939409971237183,True,0.33232349952061974
FNO,,,1.046187400817871,False,0.017436456680297852
PI-DeepONet,9.6433e-05,0.0066268,12.845566749572754,True,0.2140927791595459
PAT,,,0.008064031600952148,False,0.00013440052668253581
